rank,level,function,calls,time
0,0,acceleration_eval_1,8637,28.25599694252014
0,0,acceleration_eval_0,8637,5.524108409881592
0,0,Integrator.stage1,8637,1.4452142715454102
0,0,nnps.update,8637,0.491771936416626
0,0,Integrator.stage3,8637,0.3980731964111328
0,0,Integrator.stage2,8637,0.3426203727722168
0,0,Solver.dump_output,174,0.2498161792755127
0,0,Solver.post_step_callback,8637,0.03570103645324707
0,0,Integrator.update_domain,8637,0.030543804168701172
0,0,Solver._get_timestep,8638,0.018176794052124023
0,0,AccelerationEval.Group_15,1,0.01613616943359375
0,0,Integrator.initial_acceleration,1,0.011027336120605469
0,0,AccelerationEval.Group_16,1,4.220008850097656e-05
0,0,AccelerationEval.Group_17,1,3.838539123535156e-05
0,1,AccelerationEval.Group_10,8637,6.117760181427002
0,1,AccelerationEval.Group_1,8638,5.110284090042114
0,1,AccelerationEval.Group_7,8637,5.022567272186279
0,1,AccelerationEval.Group_9,8637,3.0340254306793213
0,1,AccelerationEval.Group_8,8637,2.54790997505188
0,1,AccelerationEval.Group_3,8637,2.1718060970306396
0,1,AccelerationEval.Group_4,8637,2.1644058227539062
0,1,AccelerationEval.Group_6,8637,2.0496957302093506
0,1,AccelerationEval.Group_5,8637,1.979548692703247
0,1,AccelerationEval.Group_11,8637,1.8266875743865967
0,1,AccelerationEval.Group_13,8637,0.6104481220245361
0,1,AccelerationEval.Group_0,8638,0.3595108985900879
0,1,AccelerationEval.Group_12,8637,0.2319185733795166
0,1,AccelerationEval.Group_2,8637,0.21745777130126953
0,1,AccelerationEval.Group_14,8637,0.17867636680603027
0,1,AccelerationEval.Group_15_d_rigid_body_combined.initialize,1,0.016065120697021484
0,1,AccelerationEval.Group_15_d_rigid_body_combined_s_rigid_body_combined.loop,1,4.315376281738281e-05
0,1,AccelerationEval.Group_16_d_rigid_body_combined_s_rigid_body_combined.loop,1,2.5272369384765625e-05
0,1,AccelerationEval.Group_17_d_rigid_body_combined_s_rigid_body_combined.loop,1,1.8835067749023438e-05
0,1,AccelerationEval.Group_17_d_rigid_body_combined.initialize,1,1.6927719116210938e-05
0,1,AccelerationEval.Group_15_d_rigid_body_combined.post_loop,1,1.4066696166992188e-05
0,1,AccelerationEval.Group_16_d_rigid_body_combined.post_loop,1,1.3828277587890625e-05
0,2,AccelerationEval.Group_10_d_fluid_s_fluid.loop,8637,3.2748866081237793
0,2,AccelerationEval.Group_1_d_fluid_s_fluid.loop,8638,2.682101011276245
0,2,AccelerationEval.Group_7_d_fluid_s_fluid.loop,8637,2.5024681091308594
0,2,AccelerationEval.Group_8_d_fluid_s_fluid.loop,8637,2.3163444995880127
0,2,AccelerationEval.Group_9_d_fluid_s_fluid.loop,8637,2.186103582382202
0,2,AccelerationEval.Group_4_d_tank_s_fluid.loop,8637,1.8074533939361572
0,2,AccelerationEval.Group_3_d_tank_s_fluid.loop,8637,1.7985749244689941
0,2,AccelerationEval.Group_11_d_rigid_body_combined_slave_s_fluid.loop,8637,1.6478469371795654
0,2,AccelerationEval.Group_6_d_rigid_body_combined_slave_s_fluid.loop,8637,1.6339409351348877
0,2,AccelerationEval.Group_5_d_rigid_body_combined_slave_s_fluid.loop,8637,1.6068525314331055
0,2,AccelerationEval.Group_1_d_fluid_s_tank.loop,8638,1.4931495189666748
0,2,AccelerationEval.Group_10_d_fluid_s_tank.loop,8637,1.488835096359253
0,2,AccelerationEval.Group_7_d_fluid_s_tank.loop,8637,1.3955349922180176
0,2,AccelerationEval.Group_10_d_fluid_s_rigid_body_combined_slave.loop,8637,0.7783958911895752
0,2,AccelerationEval.Group_7_d_fluid_s_rigid_body_combined_slave.loop,8637,0.7109434604644775
0,2,AccelerationEval.Group_1_d_fluid_s_rigid_body_combined_slave.loop,8638,0.6738731861114502
0,2,AccelerationEval.Group_9_d_fluid_s_rigid_body_combined_slave.loop,8637,0.6461200714111328
0,2,AccelerationEval.Group_0_d_rigid_body_combined_slave_s_rigid_body_combined_master.initialize_pair,8638,0.33507299423217773
0,2,AccelerationEval.Group_10_d_fluid.initialize,8637,0.32108354568481445
0,2,AccelerationEval.Group_6_d_rigid_body_combined_slave.post_loop,8637,0.2399754524230957
0,2,AccelerationEval.Group_1_d_fluid.initialize,8638,0.22381019592285156
0,2,AccelerationEval.Group_10_d_fluid.post_loop,8637,0.21358966827392578
0,2,AccelerationEval.Group_8_d_fluid.post_loop,8637,0.21352934837341309
0,2,AccelerationEval.Group_12_d_rigid_body_combined_master_s_rigid_body_combined_master.initialize_pair,8637,0.21205449104309082
0,2,AccelerationEval.Group_13_d_rigid_body_combined_master_s_rigid_body_wall.initialize_pair,8637,0.207932710647583
0,2,AccelerationEval.Group_7_d_fluid.initialize,8637,0.20253849029541016
0,2,AccelerationEval.Group_13_d_rigid_body_combined_master_s_rigid_body_combined_master.loop,8637,0.20113229751586914
0,2,AccelerationEval.Group_4_d_tank.post_loop,8637,0.1966392993927002
0,2,AccelerationEval.Group_2_d_rigid_body_combined_slave_s_rigid_body_combined_master.initialize_pair,8637,0.19636178016662598
0,2,AccelerationEval.Group_5_d_rigid_body_combined_slave.post_loop,8637,0.19376468658447266
0,2,AccelerationEval.Group_3_d_tank.post_loop,8637,0.18132328987121582
0,2,AccelerationEval.Group_9_d_fluid.initialize,8637,0.17801856994628906
0,2,AccelerationEval.Group_7_d_fluid.post_loop,8637,0.17544889450073242
0,2,AccelerationEval.Group_3_d_tank.initialize,8637,0.1679387092590332
0,2,AccelerationEval.Group_13_d_rigid_body_combined_master.initialize,8637,0.16668367385864258
0,2,AccelerationEval.Group_11_d_rigid_body_combined_slave.initialize,8637,0.16029715538024902
0,2,AccelerationEval.Group_14_d_rigid_body_combined_master_s_rigid_body_combined_slave.initialize_pair,8637,0.1586151123046875
0,2,AccelerationEval.Group_5_d_rigid_body_combined_slave.initialize,8637,0.15611696243286133
0,2,AccelerationEval.Group_6_d_rigid_body_combined_slave.initialize,8637,0.15346145629882812
0,2,AccelerationEval.Group_4_d_tank.initialize,8637,0.13613581657409668
0,2,AccelerationEval.Group_2_d_rigid_body_combined_slave_s_rigid_body_combined_master.loop,8637,0.0033838748931884766
0,2,AccelerationEval.Group_0_d_rigid_body_combined_slave_s_rigid_body_combined_master.loop,8638,0.0032868385314941406
0,2,AccelerationEval.Group_12_d_rigid_body_combined_master_s_rigid_body_combined_master.loop,8637,0.002772808074951172
0,2,AccelerationEval.Group_14_d_rigid_body_combined_master_s_rigid_body_combined_slave.loop,8637,0.0026700496673583984
0,2,AccelerationEval.Group_13_d_rigid_body_combined_master_s_rigid_body_wall.loop,8637,0.002664804458618164
